Batch | TP | FP | TN | FN | AUC | Sec

disc30/cells10_bins9/ |1179 |5 |171 |34 |0.581 |70 
disc30/cells4_bins15/ |1179 |5 |171 |34 |0.581 |72 
disc30/cells4_bins7/ |1179 |5 |171 |34 |0.581 |71 
disc30/cells4_bins9/ |1179 |5 |171 |34 |0.581 |71 
disc30/cells5_bins15/ |1179 |5 |171 |34 |0.581 |69 
disc30/cells5_bins7/ |1179 |5 |171 |34 |0.581 |69 
disc30/cells5_bins9/ |1179 |5 |171 |34 |0.581 |68 
disc30/cells6_bins15/ |1179 |5 |171 |34 |0.581 |68 
disc30/cells6_bins7/ |1179 |5 |171 |34 |0.581 |65 
disc30/cells6_bins9/ |1179 |5 |171 |34 |0.581 |70 
disc30/cells7_bins15/ |1179 |5 |171 |34 |0.581 |66 
disc30/cells7_bins7/ |1179 |5 |171 |34 |0.581 |71 
disc30/cells7_bins9/ |1179 |5 |171 |34 |0.581 |67 
disc30/cells8_bins15/ |1179 |5 |171 |34 |0.581 |67 
disc30/cells8_bins7/ |1179 |5 |171 |34 |0.581 |69 
disc30/cells8_bins9/ |1179 |5 |171 |34 |0.581 |72 
disc30/cells9_bins15/ |1179 |5 |171 |34 |0.581 |70 
disc30/cells9_bins7/ |1179 |5 |171 |34 |0.581 |67 
disc30/cells9_bins9/ |1179 |5 |171 |34 |0.581 |68 
disc40/cells10_bins9/ |1179 |5 |171 |34 |0.581 |70 
disc40/cells4_bins9/ |1179 |5 |171 |34 |0.581 |70 
disc40/cells5_bins9/ |1179 |5 |171 |34 |0.581 |70 
disc40/cells6_bins9/ |1179 |5 |171 |34 |0.581 |70 
disc40/cells7_bins9/ |1179 |5 |171 |34 |0.581 |70 
disc40/cells8_bins9/ |1179 |5 |171 |34 |0.581 |69 
disc40/cells9_bins9/ |1179 |5 |171 |34 |0.581 |71 
disc50/cells10_bins9/ |1179 |5 |171 |34 |0.581 |72 
disc50/cells4_bins9/ |1179 |5 |171 |34 |0.581 |65 
disc50/cells5_bins9/ |1179 |5 |171 |34 |0.581 |68 
disc50/cells6_bins9/ |1179 |5 |171 |34 |0.581 |68 
disc50/cells7_bins9/ |1179 |5 |171 |34 |0.581 |68 
disc50/cells8_bins9/ |1179 |5 |171 |34 |0.581 |67 
disc50/cells9_bins9/ |1179 |5 |171 |34 |0.581 |68 
disc60/cells10_bins9/ |1179 |5 |171 |34 |0.581 |68 
disc60/cells4_bins9/ |1179 |5 |171 |34 |0.581 |64 
disc60/cells5_bins9/ |1179 |5 |171 |34 |0.581 |66 
disc60/cells6_bins9/ |1179 |5 |171 |34 |0.581 |70 
disc60/cells7_bins9/ |1179 |5 |171 |34 |0.581 |68 
disc60/cells8_bins9/ |1179 |5 |171 |34 |0.581 |67 
disc60/cells9_bins9/ |1179 |5 |171 |34 |0.581 |68
