Batch | TP | FP | TN | FN | AUC | Sec

disc30/cells10_bins9/ |2059 |10 |228 |134 |0.683 |2177 
disc30/cells4_bins15/ |2063 |6 |307 |55 |0.575 |374 
disc30/cells4_bins7/ |2069 |0 |353 |9 |0.512 |107 
disc30/cells4_bins9/ |2066 |3 |324 |38 |0.552 |162 
disc30/cells5_bins15/ |2063 |6 |302 |60 |0.581 |865 
disc30/cells5_bins7/ |2064 |5 |313 |49 |0.566 |252 
disc30/cells5_bins9/ |2064 |5 |312 |50 |0.568 |387 
disc30/cells6_bins15/ |2059 |10 |272 |90 |0.622 |1254 
disc30/cells6_bins7/ |2064 |5 |306 |56 |0.576 |448 
disc30/cells6_bins9/ |2064 |5 |301 |61 |0.583 |655 
disc30/cells7_bins15/ |2061 |8 |275 |87 |0.618 |1757 
disc30/cells7_bins7/ |2062 |7 |304 |58 |0.578 |837 
disc30/cells7_bins9/ |2062 |7 |288 |74 |0.601 |1168 
disc30/cells8_bins15/ |2062 |7 |235 |127 |0.674 |2344 
disc30/cells8_bins7/ |2062 |7 |284 |78 |0.606 |1092 
disc30/cells8_bins9/ |2061 |8 |264 |98 |0.633 |1294 
disc30/cells9_bins15/ |2061 |8 |178 |184 |0.752 |3360 
disc30/cells9_bins7/ |2063 |6 |253 |109 |0.649 |1597 
disc30/cells9_bins9/ |2062 |7 |253 |109 |0.649 |1919 
disc40/cells10_bins9/ |1769 |7 |183 |125 |0.701 |1894 
disc40/cells4_bins9/ |1774 |2 |275 |33 |0.553 |126 
disc40/cells5_bins9/ |1773 |3 |263 |45 |0.572 |263 
disc40/cells6_bins9/ |1772 |4 |259 |49 |0.578 |527 
disc40/cells7_bins9/ |1769 |7 |244 |64 |0.602 |856 
disc40/cells8_bins9/ |1771 |5 |248 |60 |0.596 |1121 
disc40/cells9_bins9/ |1771 |5 |218 |90 |0.645 |1421 
disc50/cells10_bins9/ |1471 |9 |119 |137 |0.765 |1523 
disc50/cells4_bins9/ |1478 |2 |227 |29 |0.556 |95 
disc50/cells5_bins9/ |1476 |4 |222 |34 |0.565 |208 
disc50/cells6_bins9/ |1476 |4 |203 |53 |0.602 |401 
disc50/cells7_bins9/ |1471 |9 |160 |96 |0.684 |684 
disc50/cells8_bins9/ |1476 |4 |171 |85 |0.665 |978 
disc50/cells9_bins9/ |1467 |13 |138 |118 |0.726 |1225 
disc60/cells10_bins9/ |1181 |3 |167 |38 |0.591 |1298 
disc60/cells4_bins9/ |1179 |5 |171 |34 |0.581 |68 
disc60/cells5_bins9/ |1182 |2 |169 |36 |0.587 |153 
disc60/cells6_bins9/ |1182 |2 |161 |44 |0.606 |294 
disc60/cells7_bins9/ |1180 |4 |150 |55 |0.632 |474 
disc60/cells8_bins9/ |1178 |6 |138 |67 |0.661 |748 
disc60/cells9_bins9/ |1179 |5 |112 |93 |0.725 |992
